名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
巴洛炎魔,MM'25,26,巨型,邪魔 (恶魔),混乱 邪恶,19,287 (23d12 + 138),"40 尺, 飞行 80 尺",26,15,22,20,16,22,"Con +12, Wis +9",察觉 +9,,"寒冷, 闪电","火焰, 毒素","中毒, 恐慌, 魅惑","真实视觉 120 尺, 被动察觉 19",深渊语; 心灵感应 120 尺,"19 (XP 22,000; PB +6)","传奇抗性 (3/日) Legendary Resistance. 炎魔豁免失败时，可以将其改为豁免成功。

火焰灵光 Fire Aura. 炎魔回合结束时，位于源自炎魔 5 尺光环内的每名生物受到 13（3d8）火焰伤害。

焚身爆 Death Throes. 炎魔在死亡时爆炸。敏捷 豁免检定: ：DC 20，源自炎魔的 30 尺光环内的每名生物。失败: ：31（9d6）火焰伤害外加 31（9d6）力场伤害。成功:： 半伤。失败或成功:： 若炎魔于无底深渊之外死去，其立即在无底深渊某处获得一具新的身体，以满生命值复活。

魔法抗性 Magic Resistance. 炎魔对抗法术和其他魔法效应时进行的豁免检定具有优势优势。","多重攻击 Multiattack. 炎魔发动一次火舌长鞭攻击与一次闪电剑攻击。

火舌长鞭 Flame Whip. 近战攻击检定:： +14，触及 30 尺。命中: ：18（3d6 + 8）力场伤害外加 17（5d6）火焰伤害。若目标生物体型不超过巨型，炎魔将目标直线拉近至多 25 尺，且目标陷入倒地状态。

闪电剑 Lightning Blade. 近战攻击检定:： +14，触及 10 尺。命中: ：21（3d8 + 8）力场伤害外加 22（4d10）闪电伤害，且目标无法执行反应直至炎魔的下个回合开始。",传送术 Teleport. 炎魔将其自身或位于其 10 尺内的一名自愿恶魔传送至多 60 尺至一处炎魔可见的未占据空间。,,,,,,"位面, 无底深渊",武备
巴洛维亚平民,CoS,29,中型,类人 (任意种族),任意阵营,10,4 (1d8),30 尺,10,10,10,10,10,10,,,,,,,被动察觉 10,任何一种语言（通常是通用语）,0 (XP 10; PB +2),,草叉 Pitchfork. 近战武器攻击: 命中+2，触及5尺，单一目标。命中: 3（1d6）点穿刺伤害。,,,,,,,,
巴艾尔,MPMM,54,大型,邪魔 (魔鬼),守序 邪恶,18 (板甲),189 (18d10 + 90),30 尺,24,17,20,21,24,24,"Dex +9, Con +11, Int +11, Cha +13","威吓 +13, 察觉 +13, 游说 +13",,"寒冷; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","火焰, 毒素","中毒, 力竭, 恐慌, 魅惑","真实视觉 120 尺, 被动察觉 23","所有, 心灵感应 120 尺","19 (XP 22,000; PB +6)","传奇抗性 (3/日) Legendary Resistance. 如果巴艾尔在一次豁免中失败，祂可以将其改为豁免成功。

再生 Regeneration. 巴艾尔在自己的回合开始时回复20生命值。如果祂受到寒冷或光耀伤害，这一特质在其下一回合开始时无法生效。巴艾尔只有在以0生命值开始其回合并且无法再生时才会死亡。

恐惧 Dread. 任何非魔鬼生物，在巴艾尔周围10尺内开始其回合时，必须成功通过DC 22的感知豁免否则对巴艾尔陷入恐慌状态直到其下回合开始时。如果巴艾尔愿意或他陷入失能，该生物对此豁免自动成功。

魔法抗性 Magic Resistance. 巴艾尔对抗法术和魔法效应时进行的豁免检定具有优势。","多重攻击 Multiattack. 巴艾尔发动两次地狱钉头锤攻击。

地狱钉头锤 Hellish Morningstar. 近战武器攻击: 命中+13，触及20尺，单一目标。命中: 16（2d8 + 7）力场伤害加9（2d8）暗蚀伤害。

施法. 巴艾尔施展以下法术中的一个，且不需要材料成分，以魅力为施法关键属性（法术豁免DC 21）：

随意: 变身术（可变为中型）, 魅惑类人, 侦测魔法, 隐形术, 高等幻影

每项3/日: 解除魔法, 飞行术, 暗示术, 火墙术

1/日: 支配怪物

炼狱指令 Infernal Command. 每个在巴艾尔周围60尺内的同伴不会被魅惑或恐慌直到祂的下一回合结束。

传送术 Teleport. 巴艾尔将自己传送，连同其着装或携带的任何装备，至多120尺到达任何祂可以看到的未占据空间。",,,"邪魔的魔法 Fiendish Magic. 巴艾尔使用施法或传送术。

炼狱指令 Infernal Command. 巴尔使用炼狱指令。

攻击（花费2个动作） Attack. 巴艾尔发动一次地狱钉头锤攻击。",,,,,
布雷祖魔,MPMM,67,中型,邪魔 (恶魔),混乱 邪恶,14 (天生护甲),52 (7d8 + 21),40 尺,15,14,17,8,9,6,,,,"寒冷, 火焰, 闪电",毒素,"中毒, 恐慌, 魅惑","黑暗视觉 120 尺, 被动察觉 9","深渊语, 心灵感应 60 尺",3 (XP 700; PB +2),"稳步 Sure-Footed. 布雷祖魔在进行对抗使其倒地的力量豁免和敏捷豁免时具有优势。

立定跳远 Standing Leap. 布雷祖魔的跳远至多20尺，跳高至多10尺，不论是否助跑。

腐烂存在 Rotting Presence. 当任何非恶魔的生物在此布雷祖魔30尺内开始其回合时，该生物必须成功通过一个DC 13的体质豁免，否则承受3（1d6）点暗蚀伤害。",尾刺 Barbed Tail. 近战武器攻击: 命中+4 ，触及 5 尺，单一目标。命中: 8 (1d12 + 2) 穿刺伤害加 4 (1d8) 暗蚀伤害。若该目标是一个生物，其必须成功通过一个对抗疾病的DC 13的体质豁免，否则中毒直至疾病结束。当因此而中毒时，该目标长出溃烂的疡肿、咳出苍蝇、皮肤腐烂剥落，且目标在之后每24小时便必须再次进行豁免。若豁免成功，则此疾病终止。若豁免失败，该目标的生命值上限减损4（1d8）点。若目标的生命值上限减至0，则目标死亡。,,,,,,,,
帝龟,MM'25,349,巨型,野兽 (恐龙),无阵营,17,90 (12d12 + 12),"20 尺, 游泳 80 尺",18,16,13,4,14,6,,隐匿 +5,,,,,被动察觉 12,—,"4 (XP 1,100; PB +2)",水陆两栖 Amphibious. 帝龟可以在空气和水中呼吸。,"多重攻击 Multiattack. 帝龟发动两次啃咬攻击。

啃咬 Bite. 近战攻击检定: ：+6，触及 5 尺。命中: ： 14 （3d6 + 4）穿刺伤害。",,,,,,,水下,
带翼狗头人,MM'25,185,小型,龙,中立,15,10 (4d6 - 4),"30 尺, 飞行 30 尺",7,16,9,8,7,8,,,,,,,"黑暗视觉 60 尺, 被动察觉 8","通用语, 龙语",1/4 (XP 50; PB +2),"日照敏感 Sunlight Sensitivity. 若狗头人身处阳光下，其进行的属性检定和攻击检定具有劣势。

集群战术 Pack Tactics. 若狗头人的攻击目标生物 5 尺内存在有至少一名狗头人未失能的盟友，则狗头人对该生物进行的攻击检定具有优势。","龙牙之刃 Dragon-Tooth Blade. 近战攻击检定: +5，触及 5 尺。命中: 6（1d6 + 3）穿刺伤害。

繁彩飞沫 Chromatic Spittle. 远程攻击检定: +5，射程 30 尺。命中: 6（1d6 + 3）点伤害，伤害类型由狗头人从下列选项中选择一种：强酸，寒冷，火焰，闪电，毒素。",,,,,,,"丘陵, 城市, 山地, 幽暗地域, 极地, 森林, 沼泽, 海岸, 荒漠",武备
平民,MM'25,77,小型 或 中型,类人,中立,10,4 (1d8),30 尺,10,10,10,10,10,10,,,,,,,被动察觉 10,通用语,0 (XP 10; PB +2),训练 Training. 平民具有某项技能熟练（由DM选择），且在进行使用该技能的属性检定时具有优势优势。,短棒 Club. 近战攻击检定: ：+2，触及 5 尺。命中: ：2（ 1d4 ）钝击伤害。,,,,,,,任何,个体
幻术法师,MPMM,263,中型,类人,任意阵营,12 (法师护甲时15),44 (8d8 + 8),30 尺,9,14,13,16,11,12,"Int +5, Wis +2","奥秘 +5, 历史 +5",,,,,被动察觉 10,任意四种语言,3 (XP 700; PB +2),,"多重攻击 Multiattack. 幻术师进行两次奥能爆发攻击。

奥能爆发 Arcane Burst. 近战 或 远程法术攻击: 命中+5，触及5尺或范围120尺，单一目标。命中: 14（2d10 + 3）心灵伤害。

施法. 幻术师施展下列的一个法术，其施法属性为智力（法术豁免DC 13）：

随意: 舞光术, 法师之手, 次级幻象

每项2/日: 易容术, 隐形术, 法师护甲, 高等幻影, 魅影之力, 魅影驹",斗转星移 (充能 5–6) Displacement. 幻术师投射出一个幻影，使幻术法师看起来站在距离其实际位置几英寸外的地方，导致任何生物对该幻术师发动的攻击具有劣势。该效果持续 1 分钟，如果幻术师受到伤害、陷入失能或速度变为0，该效果会提前结束。,,,,,,城市,
幼虫魔,MM'25,193,中型,邪魔,中立 邪恶,9,9 (2d8),20 尺,9,9,10,6,10,2,,,,,,,"黑暗视觉 60 尺, 被动察觉 10",理解通用语以及一门其他语言，但不会说,0 (XP 10; PB +2),,啃咬 Bite. 近战攻击检定: +1，触及 5 尺。命中: 1（1d4 - 1）暗蚀伤害。,,,,,,,"位面, 下层",
幼虫魔集群,MM'25,193,大型,邪魔的中型集群,中立 邪恶,13,22 (3d10 + 6),30 尺,14,11,14,6,12,2,,,,"钝击, 穿刺, 挥砍",,"倒地, 受擒, 恐慌, 束缚, 石化, 震慑, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 11",理解所有语言但不会说,1 (XP 200; PB +2),集群 Swarm. 集群可以进驻另一生物身处的空间，反之亦然。而且集群可以通过任何足够一只中型幼虫魔通过的通道。集群不能恢复生命值也不能获得临时生命值。,啃咬 Bites. 近战攻击检定: +4，触及5尺。命中: 9（2d6 + 2）暗蚀伤害，若集群浴血则为7（2d4 + 2）暗蚀伤害。,,,,,,,"位面, 下层",
幽影,MM'25,272,中型,亡灵,混乱 邪恶,12,27 (5d8 + 5),40 尺,6,14,13,6,10,8,,隐匿 +6,光耀,"强酸, 寒冷, 火焰, 闪电, 雷鸣","暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 恐慌, 昏迷, 束缚, 石化, 麻痹","黑暗视觉 60 尺, 被动察觉 10",—,1/2 (XP 100; PB +2),"无定形 Amorphous. 幽影可以移动穿过最窄1寸宽的空间而无需消耗额外的移动力。

日照弱点 Sunlight Weakness. 若幽影身处阳光下，其进行的D20 检定具有劣势。",汲命击 Draining Swipe. 近战攻击检定: +4，触及5尺。命中: 5（1d6 + 2）暗蚀伤害。且目标的力量值降低1d4。若目标的力量值以此法降至0，则其立即死亡。若一名类人生物死于该攻击，则一只幽影在1d4小时后从其尸体上唤起。,幽影隐匿 Shadow Stealth. 处于微光光照或黑暗时，幽影可执行躲藏动作。,,,,,,"位面, 堕影冥界, 城市, 幽暗地域",
幽影刺客,WDMM,316,中型,亡灵,混乱 邪恶,14,78 (12d8 + 24),40 尺,6,19,14,13,12,14,"Dex +8, Int +5","察觉 +9, 隐匿 +12",光耀,"强酸, 寒冷, 火焰, 闪电, 雷鸣; 钝击, 穿刺, 和 挥砍 来自非魔法攻击","暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 恐慌, 束缚, 石化, 麻痹","黑暗视觉 60 尺, 被动察觉 19",理解它生前所知的语言，但不能说话,"9 (XP 5,000; PB +4)","幽影隐匿 Shadow Stealth. 处于微光光照或黑暗术时，刺客可以以附赠动作进行躲藏动作。

无定形 Amorphous. 这个刺客可以通过宽仅1英寸的空间而不被挤压。

日照弱点 Sunlight Weakness. 在日光下，刺客在攻击检定、属性检定和豁免检定上具有劣势。","多重攻击 Multiattack. 刺客进行两次影刃攻击。

影之刃 Shadow Blade. 近战武器攻击: +8命中，触及范围5尺，单一目标。命中: 7（1d6 + 4）穿刺伤害外加10（3d6）暗蚀伤害。除非目标对暗蚀伤害免疫，否则每次被此攻击命中时，其力量值减少1d4。若力量值降至0，则目标死亡。此减少效果持续至目标完成一次短休或长休。若一个非邪恶的类人生物因此攻击死亡，则一个幽影（见怪物图鉴）将于1d4小时后从其尸体上站起。",,,,,,,,
幽影恶魔,MM'25,273,中型,邪魔 (恶魔),混乱 邪恶,14,66 (12d8 + 12),"30 尺, 飞行 30 尺 (悬浮)",1,17,12,14,13,14,"Dex +5, Cha +4",隐匿 +7,光耀,"强酸, 钝击, 寒冷, 火焰, 闪电, 穿刺, 挥砍, 雷鸣","暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 束缚, 石化, 麻痹","黑暗视觉 120 尺, 被动察觉 11",深渊语; 心灵感应 120 尺,"4 (XP 1,100; PB +2)","光照敏感 Light Sensitivity. 若恶魔身处明亮光照明亮光照，其属性检定和攻击检定具有劣势劣势。

恶魔复苏 Demonic Restoration. 若恶魔于无底深渊之外死去，其身躯会化为灰烬，并立即在无底深渊某处获得一具新的身体，以满生命值复活。

虚体移动 Incorporeal Movement. 恶魔可以移动穿过其他生物或物件，如同穿过困难地形困难地形一般。在其回合结束时，若恶魔还处于物件内，其受到5（1d10）力场伤害",暗影之爪 Umbral Claw. 近战攻击检定: +5，触及5尺。命中: 16（3d8 + 3）心灵伤害。,幽影隐匿 Shadow Stealth. 处于微光光照或黑暗时，该恶魔可执行躲藏动作。,,,,,,"位面, 无底深渊",
幽影龙,MM'25,275,巨型,龙,混乱 邪恶,16,189 (18d12 + 72),"40 尺, 攀爬 40 尺, 飞行 80 尺",21,19,18,14,12,18,"Dex +9, Wis +6","察觉 +11, 隐匿 +14",,看到活体幽影,暗蚀,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 21","通用语, 龙语","13 (XP 10,000, 或 11,500在巢穴中时; PB +5)","传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。

日照敏感 Sunlight Sensitivity. 若幽影龙身处阳光下，其进行的属性检定和攻击检定具有劣势。

活体幽影 Living Shadow. 若幽影龙身处微光光照或黑暗中，其具有对除力场、心灵、光耀外所有伤害的抗性。","多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +10，触及10尺。命中: 12（2d6 + 5）挥砍伤害外加3（1d6）暗蚀伤害。

幽影吐息 (充能 5–6) Shadow Breath. 敏捷 豁免检定: DC 17，60尺锥状区域内的每名生物。失败: 35（10d6）暗蚀伤害。成功: 半伤。失败或成功: 因此伤害生命值降至0的类人生物死亡，且从其尸体中浮现一只幽影。该幽影受幽影龙控制，使用与幽影龙一样的先攻在其回合结束后立即执行回合。",幽影隐匿 Shadow Stealth. 处于微光光照或黑暗中时，该龙可执行躲藏动作。,,"猛扑 Pounce. 红龙移动至多等于其速度一半的距离，并发动一次撕裂攻击。

幽影纱幕 Veil of Shadow. 幽影龙使用幽影隐匿，且10尺内的一名其可见的生物受到10（3d6）暗蚀伤害。幽影龙直至其下个回合开始都无法再执行此动作。",,,"影龙的巢穴周围区域因它的存在而发生扭曲，产生以下效应：

黯能萦绕. 每当在巢穴1英里范围内的生物因法术恢复生命值时，它恢复的生命值数量减少1d10。

窒息之暗. 在巢穴1英里范围内，正常情况下产生明亮光照的效果会改为产生微光光照，且该区域内的生物在敏捷（隐匿）检定上具有优势。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。","位面, 堕影冥界, 幽暗地域",任何
幽邃熊怪,MM'25,251,中型,怪兽,混乱 中立,13,45 (6d8 + 18),"30 尺, 攀爬 30 尺",17,12,16,6,12,7,,运动 +5,,,毒素,中毒,"黑暗视觉 120 尺, 被动察觉 11",地底通用语,2 (XP 450; PB +2),浴血狂怒 Bloodied Fury. 处于浴血状态时，幽邃熊怪的攻击检定具有优势优势。,"多重攻击 Multiattack. 幽邃熊怪发动两次爪击攻击。

爪击 Claw. 近战攻击检定: +5，触及5尺。命中: 6（1d6 + 3）挥砍伤害，若幽邃熊怪处于浴血状态则改为13（3d6 + 3）挥砍伤害。",,,,,,,幽暗地域,
幽邃熊怪·索诺祭司,MM'25,251,中型,怪兽,混乱 中立,15,67 (9d8 + 27),"30 尺, 攀爬 30 尺",17,12,16,6,14,7,,运动 +5,,,毒素,中毒,"黑暗视觉 120 尺, 被动察觉 12",地底通用语,3 (XP 700; PB +2),浴血狂怒 Bloodied Fury. 处于浴血状态时，幽邃熊怪的攻击检定具有优势优势。,"多重攻击 Multiattack. 幽邃熊怪发动两次爪击攻击。

施法. 幽邃熊怪施展以下一道法术，无需法术成分并使用感知作为施法属性（法术豁免DC 12）：

随意: 法师之手（手是隐形的）, 次级幻象

2/日: 心灵尖刺

爪击 Claw. 近战攻击检定: +5，触及5尺。命中: 6（1d6 + 3）挥砍伤害外加5（2d4）心灵伤害。",,灵能防御（3/日）. 幽邃熊怪施展羽落术或护盾术（触发条件见这些法术），无需任术成分并使用与施法动作相同的施法属性。,,,,,幽暗地域,
幽邃盲族,MM'25,160,中型,异怪,中立 邪恶,11,11 (2d8 + 2),"30 尺, 攀爬 30 尺",16,12,12,9,8,6,,"运动 +5, 察觉 +3, 隐匿 +5",,,,,"盲视 30 尺, 被动察觉 13",—,1/4 (XP 50; PB +2),,骨棒 Bone Cudgel. 近战攻击检定: +5，触及5尺。命中: 6（1d6 + 3）钝击伤害，外加2（1d4）心灵伤害。,,,,,,,幽暗地域,
幽魂,MM'25,131,中型,亡灵,中立,11,45 (10d8),"5 尺, 飞行 40 尺 (悬浮)",7,13,10,10,12,17,,,,"强酸, 钝击, 寒冷, 火焰, 闪电, 穿刺, 挥砍, 雷鸣","暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 恐慌, 束缚, 石化, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 11",通用语，外加另外一门语言,"4 (XP 1,100; PB +2)","以太视界 Ethereal Sight. 若幽魂身处物质位面，其能够看见60尺内的以太位面。

虚体移动 Incorporeal Movement. 幽魂可以移动穿过其他生物或物件，如同穿过困难地形一般。在其回合结束时，若幽魂还处于物件内，其受到5（1d10）力场伤害","多重攻击 Multiattack. 幽魂发动两次凋零之触攻击。

以太化. 幽魂施展法术以太化以太化，无需法术成分，并使用魅力作为施法属性。当幽魂处于边界以太时，仍可以在物质位面被观测到，反之亦然。但另一位面的任何事物不能对其施加影响或被其影响。

枯萎触击 Withering Touch. 近战攻击检定: +5，触及5尺。命中: 19（3d10 + 3）暗蚀伤害。

恐怖面容 Horrific Visage. 感知 豁免检定: DC 13，60尺锥状区域内能看见幽魂的每名非亡灵生物。失败: 10（2d6 + 3）心灵伤害，目标陷入恐慌状态，直至幽魂的下个回合的开始。成功: 目标在24小时内免疫此幽魂的恐怖面容。

附身(充能 6) Possession. 魅力 豁免检定: DC 13，5尺内幽魂可见的一名类人生物。失败: 目标被幽魂附身；幽魂消失，目标陷入失能状态并失去对身体的控制。现在由幽魂控制身体，但目标仍然保留自我意识。幽魂不能成为任意攻击、法术或其他效应的目标，针对不死生物的效应除外。幽魂仍然保留自己的游戏数据，但是使用附身目标的速度，以及力量、敏捷与体质调整值。

附身持续至身体的生命值降至0 生命值，或在幽魂以附赠动作解除附身时结束。附身结束时，幽魂会出现在目标5尺内一处未占据空间，且目标在24小时内免疫此幽魂的附身。成功: 目标在接下来24小时内免疫幽魂的附身。",,,,,,,"城市, 幽暗地域",任何
