名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
巧言术,PHB'24,334,3环,动作,1 小时,预言,触及,"声音, 材料 (一座微缩庙塔)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 知识 (FRHoF) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师",此法术赋予你触碰的一名生物理解任何其能看见或听见的口语或手语的能力。此外，当目标生物以口语或手语进行交流时，任何能听见其话语或看见其手语，且知道至少一门语言的生物都能理解它。,
巨虫术,PHB'24,279,4环,动作,"专注, 至多10 分钟",咒法,60 尺,"声音, 姿势",德鲁伊 (PHB'24),,,"你召唤一只巨化的蜈蚣、蜘蛛或黄蜂（你施法时选择）。其使用下文巨虫的数据，并会在施法距离内一处你可见的未被占据的空间中显现。你选择的形态决定了其数据中的部分细节。该生物会在生命值降为0或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
巫术箭,PHB'24,343,1环,动作,"专注, 至多1 分钟",塑能,60 尺,"声音, 姿势, 材料 (一根被闪电击中的树枝)","术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","一支缠绕着碎裂魔力的蓝色能量长矛射向施法距离内的一个生物，并在你与目标之间生成一道持久的闪电弧。对目标进行一次远程法术攻击。若命中，则目标受到2d12点闪电伤害。

无论首次攻击是否命中，在你接下来的每个回合中，你都可以用附赠动作直接对目标造成1d12点闪电伤害。

此外，如果目标与你之间的距离超出了法术的施法距离，或者目标相对你而言处于全身掩护掩护状态，法术将提前终止。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的初始伤害就提高1d12。
希望信标,PHB'24,245,3环,动作,"专注, 至多1 分钟",防护,30 尺,"声音, 姿势",牧师 (PHB'24),,"奉献 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",选择施法距离内任意数量的生物，并使其在法术持续时间内进行的感知豁免和死亡豁免检定具有优势。此外，其获得的所有治疗的生命值恢复量都取最大值。,
幻景,PHB'24,283,4环,10 分钟,24 小时,幻术,300 尺,"声音, 姿势, 材料 (一个蘑菇)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 幻术师 (PHB'24) 法师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者","你使施法距离内一处 150 尺立方区域内的自然地形在视觉、听觉、嗅觉上都像是另一种自然地形。因此，开阔的平原或者道路可能会变得像是一片沼泽，或是丘陵、裂谷以及其他难以通过，甚至是无法通过的地形。一个池塘可能变得看起来像一片草地，一个悬崖像是一个缓坡，或者使一条乱石沟像是一条宽阔平坦的道路。区域内经过加工的建筑、装备或生物的外表不会改变。

地形的触觉特征不会改变，所以进入这片区域的生物可能会看穿幻象。如果触觉区别不明显，一个仔细调查幻象的生物可以采取研究动作，尝试进行一次对抗法术豁免 DC 的智力（调查）检定以识破之。对于一个识破了幻象本体的生物，幻象看起来就像是一层模糊的图像叠加在真实地形上。",
庇护术,PHB'24,313,1环,附赠动作,1 分钟,防护,30 尺,"声音, 姿势, 材料 (一块镜子碎片)","奇械师 (EFA), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你为施法距离内的一名生物施加守护。在法术终止前，当任何生物将受守护的生物定为其攻击检定或伤害性法术的目标时，该生物都必须成功通过一次感知豁免，否则该生物必须改为选定另一名生物作为新的目标或者失去本次的攻击或法术。不过此法术无法令受术者免受区域效应的影响。

若受保护生物发动一次攻击，施展一道法术，或是造成任何伤害，则该法术随之终止。",
延迟爆裂火球,PHB'24,261,7环,动作,"专注, 至多1 分钟",塑能,150 尺,"声音, 姿势, 材料 (一颗蝙蝠粪和硫磺搓成的小球)","术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","一束黄光从你的指尖射向施法距离内你指定的一点，并在法术持续时间内在该点凝结成一颗珠子。法术终止时，珠子将伴着低吼炸裂成四窜的烈焰，位于目标点半径 20 尺球状区域内的每名生物都必须进行一次敏捷豁免。豁免失败者将承受全部累积的火焰伤害，豁免成功则受到半数伤害。

该法术的基础伤害为12d6，且若在你回合结束时法术尚未终止，则其伤害增加1d6。

如果珠子爆炸前被生物触碰到，则该生物必须进行一次敏捷豁免。豁免失败则法术立即终止并触发爆炸效应。豁免成功则该生物可将珠子抛开至多40尺。当珠子进入一名生物的空间或撞到某个固态物件时，法术立即终止并且触发爆炸效应。

珠子爆炸时，区域内未被着装或携带的可燃物件会开始燃烧。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比七环高一环，基础伤害就提高1d6。
异怪召唤术,PHB'24,322,4环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一条腌制触手和一颗装在白金瓶中的眼球、价值 400+GP)","法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 旧日支配者 (PHB'24) 魔契师, 畸变 (PHB'24) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者","你唤来一个异怪灵魄。其使用下文异怪灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从类眼魔，夺心魔和史拉蟾中选择一个类别。该生物会显化为你所选的那一类异怪，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你的盟友（对你的其他盟友亦是如此）。它在战斗中使用你的先攻，并在你回合结束后立即行动。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
异界之门,PHB'24,277,9环,动作,"专注, 至多1 分钟",咒法,60 尺,"声音, 姿势, 材料 (一颗价值 5000+GP 的钻石)","术士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你召唤一扇传送门将施法距离内你能看到的一处未占据空间与一个不同位面的准确地点连接在一起。传送门是你打开的一个直径 5 到 20 尺的圆形开口。其开口朝向你指定的任意方向，并持续至法术终止。传送门在法术持续时间内一直存在，且可以透过传送门看见其目的地。

传送门在某个位面显现时有着明确的正反面。只有从正面穿过传送门的事物才能实现其传送功能，从而传送至另一位面，并在离传送门最近的未占据空间中显现。

神和其他位面统治者可以阻止该法术在其所在或属于其领域的任何地点创造传送门。

施展该法术时，你可以说出某个特定生物的名字（不能是假名、头衔、绰号等）。如果该生物在与你不同的位面，则传送门会紧挨被指名生物打开并将该生物传送至你这一侧，出现在距传送门最近的未占空间。你不会获得任何用来控制被传送生物的特殊能力，而它此时可以自由的作任何DM认为合适的行动。它可能离开，也可以攻击你或协助你。",
异界探知,PHB'24,255,5环,1 分钟,1 分钟,预言 (仪式),自身,声音,"法师 (PHB'24), 魔契师 (PHB'24)",,"巨灵贵族 (FRHoF) 圣武士, 预言师 (PHB'24) 法师","你与一名半神、一名古老贤者的亡魂或是其他位面的博学实体建立了精神的连接。与超越人智存在的连接可能会破坏你的心智。当你施展该法术时，进行一次DC 15的智力豁免。豁免成功时，你可以询问该实体最多五个问题。你必须在法术结束前提出你的问题。DM 将以一个单词回答你的每个问题，例如""是Yes""、""不是No""、""可能Maybe""、""不可能Never""、""无关Irrelevant""或""不清楚Unclear""（意味着该实体不知道该问题的答案）。如果一个单词的答案会造成误解，DM可能会用一句短语作为答案。

豁免失败时，你将受到6d6心灵伤害并且直到你完成一次长休为止，你陷入失能状态。对你施展法术高等复原术将结束该效应。",
异界誓盟,PHB'24,304,6环,10 分钟,立即,咒法,60 尺,"声音, 姿势",牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你祈求一名异界实体的援助。你必须对该存在有所了解，它可以是一位神祇，一名恶魔主君，或是其他拥有宇宙级伟力的存在。该实体将派遣一名效忠它的天族生物，元素生物或邪魔生物来援助你，并使该生物显现在施法距离内一处未占空间。如果你知道某个特定生物的名字，则你可以在施展法术时说出其名字来请求指派该生物来援，但是你仍然有可能得到一名不同的生物（由DM选择）。

该生物出现时，它并未被强迫做任何事。你可以用报酬为交换，请求其提供服务，但它并没有为你实现请求的义务。请求的任务可以简单（帮我们飞越峡谷，或协助我们进行一场战斗），也可以复杂（暗中监视我们的敌人，或在我们扫荡地城时保护我们）。你必须能与该生物交流从而为其服务讨价还价。

报酬的形式各式各样。一名天族可能会要求为一座同盟的神殿捐献一份相当可观的金币或魔法物品，而一只邪魔可能会索要一次活祭或一份财宝作为礼物。一些生物可能会要求你进行一个任务来换取它们的服务。

一个可以按分钟计算的任务需要每分钟 100GP 的报酬。一个可以按小时计算的任务需要每小时 1000GP 的报酬。一个可以按日计算的任务（至多 10 日）需要每日 10000GP 的报酬。DM可以按你施展该法术时的具体情况调整报酬。如果任务与生物的行为准则一致，则其可能只会索取一半报酬甚至不收取报酬。没有风险的任务一般只需要建议报酬的一半，而特别危险的任务可能会需要更大的赠礼。生物极少接受看上去像自杀的任务。

生物完成任务后，或当提前商定的服务时间结束后，生物会在情况允许时回来向你报告，然后再返回自己的家乡位面。如果你不能就生物的服务价格与之达成共识，该生物将立即返回其家乡位面。",
异界誓缚,PHB'24,305,5环,1 小时,24 小时,防护,60 尺,"声音, 姿势, 材料 (一颗价值 1000+GP 的宝石，作为法术耗材)","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 防护师 (PHB'24) 法师","你试图誓缚一名生物类型为天族、元素、妖精或邪魔的生物使其为你服务。生物必须在施法过程中一直位于施法距离内。（通常来说，在施展该法术期间，生物会先被召唤到一道反向作用的防护法阵中困住。）施法完成时，目标必须成功通过一次魅力豁免，否则在持续时间内必须为你服务。如果生物是由另一道法术召唤或创造的，则那道法术的持续时间会被延长到与此法术的持续时间一致。

一名被誓缚的生物必须尽其最大的努力遵循你的命令。你可能命令该生物在你冒险时陪伴你，或守卫一个地点，又或者传递一个信息。如果此生物与你敌对，则它会努力曲解你的字面意思来达到它自己的目标。如果生物在法术终止前完全执行了你的指示而你们仍处于同一位面，则它会当面向你汇报。如果你们处于不同位面，则它会回到与其建立誓约之地，并停留该处直至法术终止。",升环施法 Using a Higher-Level Spell Slot. 使用更高环法术位施展该法术时，法术持续时间增加：六环 10 日，七环 30 日，八环 180 日，九环 366 日。
